job_ix,subject,class_num,proc_time,instructor,venue,term,term_half,precedence,original_day,original_hour,subject_ix,venue_ix,original_day_ix,original_hour_ix,original_time_ix,release_date,deadline,track_avi,track_ba,track_fin,track_scl,track_uis,track_core
1,40.004,CS01,4,BD,2.404,ESD T5,1,1,TUE,1000,1,26,2,10,28,0,999,0,0,0,0,0,1
2,40.004,CS01,4,BD,2.404,ESD T5,1,2,THU,1000,1,26,4,10,62,0,999,0,0,0,0,0,1
3,40.004,CS02,4,BD,2.404,ESD T5,1,1,TUE,1300,1,26,2,13,34,0,999,0,0,0,0,0,1
4,40.004,CS02,4,BD,2.404,ESD T5,1,2,THU,1300,1,26,4,13,68,0,999,0,0,0,0,0,1
5,40.012,CS01,4,SS,2.404,ESD T5,1,1,MON,830,2,26,1,8.5,1,0,999,0,0,0,0,0,1
6,40.012,CS01,4,SS,2.404,ESD T5,1,2,WED,830,2,26,3,8.5,49,0,999,0,0,0,0,0,1
7,40.012,CS02,4,SS,2.505,ESD T5,1,1,MON,1300,2,33,1,13,10,0,999,0,0,0,0,0,1
8,40.012,CS02,4,SS,2.505,ESD T5,1,2,WED,1130,2,33,3,11.5,55,0,999,0,0,0,0,0,1
9,40.012,LS01,2,SS,2.505,ESD T5,1,3,FRI,1030,2,33,5,10.5,87,0,999,0,0,0,0,0,1
10,40.014,CS01,4,PLJ,2.503/2.504,ESD T5,1,1,TUE,1300,3,32,2,13,34,0,999,0,0,0,0,0,1
11,40.014,CS01,4,PLJ,2.503/2.504,ESD T5,1,2,THU,1300,3,32,4,13,68,0,999,0,0,0,0,0,1
12,40.014,CS02,4,PLJ,2.503/2.504,ESD T5,1,1,TUE,1000,3,32,2,10,28,0,999,0,0,0,0,0,1
13,40.014,CS02,4,PLJ,2.503/2.504,ESD T5,1,2,THU,900,3,32,4,9,60,0,999,0,0,0,0,0,1
14,40.004,CS01,4,SK,2.404,ESD T5,2,1,TUE,1000,1,26,2,10,28,0,999,0,0,0,0,0,1
15,40.004,CS01,4,SK,2.404,ESD T5,2,2,THU,1000,1,26,4,10,62,0,999,0,0,0,0,0,1
16,40.004,CS02,4,SK,2.404,ESD T5,2,1,TUE,1300,1,26,2,13,34,0,999,0,0,0,0,0,1
17,40.004,CS02,4,SK,2.404,ESD T5,2,2,THU,1300,1,26,4,13,68,0,999,0,0,0,0,0,1
18,40.012,CS01,4,DL,2.505,ESD T5,2,1,MON,1000,2,33,1,10,4,0,999,0,0,0,0,0,1
19,40.012,CS01,4,DL,2.505,ESD T5,2,2,WED,930,2,33,3,9.5,51,0,999,0,0,0,0,0,1
20,40.012,CS02,4,DL,2.505,ESD T5,2,1,MON,1300,2,33,1,13,10,0,999,0,0,0,0,0,1
21,40.012,CS02,4,DL,2.505,ESD T5,2,2,WED,1130,2,33,3,11.5,55,0,999,0,0,0,0,0,1
22,40.012,LS01,2,DL,2.505,ESD T5,2,3,FRI,1030,2,33,5,10.5,87,0,999,0,0,0,0,0,1
23,40.014,CS01,4,SG,2.503,ESD T5,2,1,TUE,1300,3,30,2,13,34,0,999,0,0,0,0,0,1
24,40.014,CS01,4,SG,2.503/2.504,ESD T5,2,2,THU,1300,3,32,4,13,68,0,999,0,0,0,0,0,1
25,40.014,CS02,4,SG,2.503,ESD T5,2,1,TUE,1000,3,30,2,10,28,0,999,0,0,0,0,0,1
26,40.014,CS02,4,SG,2.503/2.504,ESD T5,2,2,THU,900,3,32,4,9,60,0,999,0,0,0,0,0,1
27,40.242,CS01,4,DSR,2.308,ESD T7,1,1,TUE,1800,4,20,2,18,44,0,999,0,0,1,0,0,0
28,40.242,CS01,4,DSR,2.308,ESD T7,1,2,THU,1800,4,20,4,18,78,0,999,0,0,1,0,0,0
29,40.302,CS01,4,WX,2.304,ESD T7,1,1,MON,1300,5,17,1,13,10,0,999,0,1,0,1,0,0
30,40.302,CS01,4,WX,2.304,ESD T7,1,2,TUE,1500,5,17,2,15,38,0,999,0,1,0,1,0,0
31,40.302,CS01,2,WX,1.61,ESD T7,1,3,TUE,1700,5,12,2,17,42,0,999,0,1,0,1,0,0
32,40.319,CS01,4,LS,2.503/2.504,ESD T7,1,1,MON,900,7,32,1,9,2,0,999,0,1,0,0,0,0
33,40.319,CS01,4,LS,1.415/1.416,ESD T7,1,3,THU,1300,7,6,4,13,68,0,999,0,1,0,0,0,0
34,40.319,CS02,4,LS,1.415/1.416,ESD T7,1,1,TUE,1000,7,6,2,10,28,0,999,0,1,0,0,0,0
35,40.319,CS02,4,LS,1.415/1.416,ESD T7,1,3,THU,900,7,6,4,9,60,0,999,0,1,0,0,0,0
36,40.319,LS01,2,LS,1.203,ESD T7,1,2,TUE,1200,7,1,2,12,32,0,999,0,1,0,0,0,0
37,40.321,CS01,4,NAR,1.61,ESD T7,1,1,MON,1100,8,12,1,11,6,0,999,1,0,0,0,0,0
38,40.321,CS01,4,NAR,1.61,ESD T7,1,2,THU,1100,8,12,4,11,64,0,999,1,0,0,0,0,0
39,40.323,CS01,4,DSR,2.304,ESD T7,1,1,TUE,1300,9,17,2,13,34,0,999,0,0,1,0,0,0
40,40.323,CS01,4,DSR,2.304,ESD T7,1,2,THU,1300,9,17,4,13,68,0,999,0,0,1,0,0,0
41,40.242,CS01,4,DSR,2.308,ESD T7,2,1,TUE,1800,4,20,2,18,44,0,999,0,0,1,0,0,0
42,40.242,CS01,4,DSR,2.308,ESD T7,2,2,THU,1800,4,20,4,18,78,0,999,0,0,1,0,0,0
43,40.305,CS01,4,KRAM,2.304,ESD T7,2,1,MON,1300,6,17,1,13,10,0,999,0,1,0,1,0,0
44,40.305,CS01,4,KRAM,2.304,ESD T7,2,2,TUE,1500,6,17,2,15,38,0,999,0,1,0,1,0,0
45,40.319,CS01,4,LN,2.503/2.504,ESD T7,2,1,MON,900,7,32,1,9,2,0,999,0,1,0,0,0,0
46,40.319,CS01,4,LN,1.415/1.416,ESD T7,2,3,THU,1300,7,6,4,13,68,0,999,0,1,0,0,0,0
47,40.319,CS02,4,LN,1.415/1.416,ESD T7,2,1,TUE,1000,7,6,2,10,28,0,999,0,1,0,0,0,0
48,40.319,CS02,4,LN,1.415/1.416,ESD T7,2,3,THU,900,7,6,4,9,60,0,999,0,1,0,0,0,0
49,40.319,LS01,2,LN,1.203,ESD T7,2,2,TUE,1200,7,1,2,12,32,0,999,0,1,0,0,0,0
