subject,subject_ix,track_core,track_avi,track_ba,track_fin,track_scl,track_uis
40.004,1,1,,,,,
40.012,2,1,,,,,
40.014,3,1,,,,,
40.242,4,,,,1,,
40.302,5,,,1,,1,
40.305,6,,,1,,1,
40.319,7,,,1,,,
40.321,8,,1,,,,
40.323,9,,,,1,,
01.104,10,,,1,,,
01.106,11,,,,,,
01.107,12,,1,,,,1
01.111,13,,,,,,
02.126,14,,,,,,
02.130TS,15,,,,,,
02.131DH,16,,,,,,
02.132DH,17,,,,,,
02.135HT,18,,,,,,
02.139HT,19,,,,,,
02.145TS,20,,,,,,
02.147TS,21,,,,,,
02.148,22,,,,,,
02.202,23,,,,,,
02.217,24,,,,,,
02.218,25,,,,,,
02.222TS,26,,,,,,
02.226,27,,,,,,
02.228TS,28,,,,,,
02.230TS,29,,,,,,
02.231TS,30,,,,,,
01.400,31,,,,,,
