day,hour,EOD_bin,hass_blocked,capstone_blocked,time_ix,day_ix,hour_ix
MON,830,0,0,0,1,1,8.5
MON,900,0,0,0,2,1,9
MON,930,0,0,0,3,1,9.5
MON,1000,0,0,0,4,1,10
MON,1030,0,0,0,5,1,10.5
MON,1100,0,0,0,6,1,11
MON,1130,0,0,0,7,1,11.5
MON,1200,0,0,0,8,1,12
MON,1230,0,0,0,9,1,12.5
MON,1300,0,0,0,10,1,13
MON,1330,0,0,0,11,1,13.5
MON,1400,0,0,0,12,1,14
MON,1430,0,0,0,13,1,14.5
MON,1500,0,1,0,14,1,15
MON,1530,0,1,0,15,1,15.5
MON,1600,0,1,0,16,1,16
MON,1630,0,1,0,17,1,16.5
MON,1700,0,1,0,18,1,17
MON,1730,0,1,0,19,1,17.5
MON,1800,0,0,0,20,1,18
MON,1830,0,0,0,21,1,18.5
MON,1900,0,0,0,22,1,19
MON,1930,0,0,0,23,1,19.5
MON,2000,1,0,0,24,1,20
TUE,830,0,1,0,25,2,8.5
TUE,900,0,1,0,26,2,9
TUE,930,0,1,0,27,2,9.5
TUE,1000,0,0,0,28,2,10
TUE,1030,0,0,0,29,2,10.5
TUE,1100,0,0,0,30,2,11
TUE,1130,0,0,0,31,2,11.5
TUE,1200,0,0,0,32,2,12
TUE,1230,0,0,0,33,2,12.5
TUE,1300,0,0,0,34,2,13
TUE,1330,0,0,0,35,2,13.5
TUE,1400,0,0,0,36,2,14
TUE,1430,0,0,0,37,2,14.5
TUE,1500,0,0,0,38,2,15
TUE,1530,0,0,0,39,2,15.5
TUE,1600,0,0,0,40,2,16
TUE,1630,0,0,0,41,2,16.5
TUE,1700,0,0,0,42,2,17
TUE,1730,0,0,0,43,2,17.5
TUE,1800,0,0,0,44,2,18
TUE,1830,0,0,0,45,2,18.5
TUE,1900,0,0,0,46,2,19
TUE,1930,0,0,0,47,2,19.5
TUE,2000,1,0,0,48,2,20
WED,830,0,0,0,49,3,8.5
WED,900,0,0,0,50,3,9
WED,930,0,0,0,51,3,9.5
WED,1000,0,0,0,52,3,10
WED,1030,0,0,1,53,3,10.5
WED,1100,0,0,1,54,3,11
WED,1130,0,0,1,55,3,11.5
WED,1200,0,0,1,56,3,12
WED,1230,0,0,1,57,3,12.5
WED,1300,1,0,1,58,3,13
THU,830,0,0,0,59,4,8.5
THU,900,0,0,0,60,4,9
THU,930,0,0,0,61,4,9.5
THU,1000,0,0,0,62,4,10
THU,1030,0,0,0,63,4,10.5
THU,1100,0,0,0,64,4,11
THU,1130,0,0,0,65,4,11.5
THU,1200,0,0,0,66,4,12
THU,1230,0,0,0,67,4,12.5
THU,1300,0,0,0,68,4,13
THU,1330,0,0,0,69,4,13.5
THU,1400,0,0,0,70,4,14
THU,1430,0,0,0,71,4,14.5
THU,1500,0,1,0,72,4,15
THU,1530,0,1,0,73,4,15.5
THU,1600,0,1,0,74,4,16
THU,1630,0,1,0,75,4,16.5
THU,1700,0,1,0,76,4,17
THU,1730,0,1,0,77,4,17.5
THU,1800,0,0,0,78,4,18
THU,1830,0,0,0,79,4,18.5
THU,1900,0,0,0,80,4,19
THU,1930,0,0,0,81,4,19.5
THU,2000,1,0,0,82,4,20
FRI,830,0,0,1,83,5,8.5
FRI,900,0,0,1,84,5,9
FRI,930,0,0,1,85,5,9.5
FRI,1000,0,0,1,86,5,10
FRI,1030,0,0,1,87,5,10.5
FRI,1100,0,0,1,88,5,11
FRI,1130,0,1,0,89,5,11.5
FRI,1200,0,1,0,90,5,12
FRI,1230,0,1,0,91,5,12.5
FRI,1300,1,1,0,92,5,13
